t_c2_ccms_311_001_01	通用非签名信息业务应答报文
t_c2_ccms_312_001_01	通用签名信息业务报文
t_c2_ccms_313_001_01	通用签名信息业务应答报文
t_c2_ccms_314_001_01	业务查询报文
t_c2_ccms_315_001_01	业务查复报文
t_c2_ccms_316_001_01	业务状态查询申请报文
t_c2_ccms_317_001_01	业务状态查询应答报文
t_c2_ccms_318_001_01	业务退回申请报文
t_c2_ccms_319_001_01	业务退回应答报文
t_c2_ccms_801_001_02	系统状态变更通知报文
t_c2_ccms_803_001_02	参与机构状态变更通知报文
t_c2_ccms_805_001_02	登录/退出申请报文
t_c2_ccms_806_001_02	登录/退出应答报文
t_c2_ccms_807_001_02	强制离线通知报文
t_c2_ccms_809_001_02	停启运通知报文
t_c2_ccms_811_001_01	ACS专用时间结束通知报文
t_c2_ccms_900_001_02	通用处理确认报文
t_c2_ccms_903_001_02	数字证书绑定管理通知报文
t_c2_ccms_906_001_01	业务种类与类型管理报文
t_c2_ccms_907_001_02	系统参数变更报文
t_c2_ccms_911_001_02	报文丢弃通知报文
t_c2_ccms_913_001_01	CIS代理行变更通知报文
t_c2_ccms_915_001_01	业务权限变更通知报文
t_c2_ccms_916_001_01	行名行号变更通知报文
t_c2_ccms_917_001_01	基础信息变更通知报文
t_c2_ccms_919_001_01	数字证书下载申请报文
t_c2_ccms_921_001_01	数字证书下载应答报文
t_c2_ccms_990_001_02	通信级确认报文
t_c2_ccms_991_001_01	探测请求报文
t_c2_ccms_992_001_01	探测回应报文


conn sys/orcl as sysdba;
drop user c2 cascade;

create user c2 identified by "1234";
grant connect,resource,dba to c2;
commit;

conn c2/1234@ORCL;

@E:\temp\sql\支付平台-v1.3.sql;


conn sys/orcl as sysdba;
drop user test cascade;

create user test identified by "1234";
grant connect,resource,dba to test;
commit;

conn test/1234@ORCL;


conn sys/orcl as sysdba;
drop user c2test cascade;

create user c2test identified by "1234";
grant connect,resource,dba to c2test;
commit;

conn c2test/1234@ORCL;

E:\Docs\techDocs\CNAPS2\支付平台\二代支付\支付平台-v1.3.sql;

E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_sys.sql;
E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_data.sql;
E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_cfg.sql;
E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\8583_sample.sql;

E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_ele_bsc.sql;
E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_ele_ext.sql;

E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_c1_ele.sql;
E:\Docs\techDocs\CNAPS2\支付平台\二代支付\sql\init_c1_ele_e.sql;

